"ID","DOC_TYPE","PROC_TYPE","DOSSIER_TYPE","GROSS_SPA","NET_SPA"
1150497,"PR","NLE","LIBE",1.45,0.68
1154743,"RR","NLE","LIBE",2.73,1.43
1150517,"NT","BUD","BUDG",1.03,0.53
1151987,"RR","BUD","BUDG",17.04,9.61
1150329,"LT","BUD","REGI",1.07,0.56
1152008,"RR","COD","PECH",5.89,1.57
1147008,"PR","COD","PECH",5.62,1.96
1148805,"DV","COD","PECH",1.26,0.49
1152053,"AM","COD","ITRE",1.26,0.72
1156776,"RR","COD","ITRE",3.38,1.72
1156019,"NR","COD","ITRE",1.07,0.79
1148776,"PR","COD","ITRE",1.94,0.66
1146382,"AM","COD","REGI",62.34,28.11
1151243,"AD","COD","DEVE",10.99,3.46
1150128,"AD","COD","FEMM",8.58,4.85
1153807,"RR","COD","ENVI",93.44,31.02
1150774,"AM","COD","ENVI",99.65,49.07
1152018,"AD","COD","REGI",23.86,11.17
1150775,"AM","COD","ENVI",22.09,10.71
1150237,"AD","COD","BUDG",8.48,2.77
1144382,"PA","COD","BUDG",7.66,6.02
1146067,"NP","COD","ENVI",8.49,7.2
1143419,"PA","COD","REGI",14.63,8.47
1145839,"PA","COD","DEVE",10.21,6.36
1149589,"AM","COD","BUDG",0.98,0.71
1147445,"PR","COD","ENVI",22.61,14.19
1153951,"NT","COD","ENVI",2.42,2.06
1155232,"RR","CNS","TRAN",13.41,4.7
1150706,"AD","CNS","ECON",5.54,2.53
1142450,"PR","CNS","TRAN",6.65,4.2
1141920,"PA","CNS","ECON",3.35,2.48
1144476,"AM","CNS","TRAN",9.53,4.39
1147380,"AM","CNS","ECON",9.76,4.26
1131941,"CM","COD","JURI",1.93,1.05
1149703,"AD","COD","LIBE",22.03,8.15
1155192,"RR","COD","TRAN",69.1,22.01
1146886,"AM","COD","LIBE",34.43,16
1146360,"AM","COD","TRAN",93.26,58.87
1145591,"PA","COD","LIBE",5.04,2.33
1142288,"PR","COD","TRAN",14.59,8.18
1170298,"PF","COD","TRAN",53.59,35.05
1155514,"RR","COD","TRAN",75.25,27.67
1151944,"AD","COD","EMPL",31.45,12.83
1140611,"PA","COD","EMPL",16.06,10.14
1144073,"AM","COD","EMPL",133.29,63.97
1145209,"AM","COD","TRAN",103.17,48.55
1146629,"AM","COD","TRAN",120.24,56.78
1137661,"PR","COD","TRAN",36.39,25.33
1172776,"DT","COD","TRAN",36.14,9.42
1173317,"DT","COD","TRAN",35.93,9.43
1173319,"DT","COD","TRAN",35.7,9.42
1173318,"DT","COD","TRAN",35.74,9.34
1207251,"RR","COD","TRAN",8.24,2.74
1204900,"AM","COD","TRAN",22.7,10.02
1202914,"PR","COD","TRAN",6.68,4.06
1159661,"RR","COD","TRAN",71.76,24.24
1150938,"AM","COD","ENVI",44.27,17.42
1153332,"AD","COD","ENVI",27.05,11.23
1153524,"AM","COD","TRAN",109.38,51.32
1146572,"PA","COD","ENVI",30.55,20
1143958,"NP","COD","TRAN",3.18,2.7
1148893,"PR","COD","TRAN",33.22,20.73
1131840,"NP","COD","TRAN",3.44,2.44
1155442,"RR","COD","TRAN",90.25,33.09
1148775,"AD","COD","ENVI",32.73,10.81
1143016,"PA","COD","ENVI",25.67,12.06
1145322,"AM","COD","ENVI",88.79,38.77
1147237,"AM","COD","TRAN",0.55,0.32
1142831,"PR","COD","TRAN",44.32,28.49
1145110,"AM","COD","ENVI",1.06,0.47
1138032,"DT","COD","TRAN",10.81,6.48
1146657,"AM","COD","TRAN",80.57,39.01
1142506,"AM","COD","TRAN",114.4,49.49
1242990,"PR","COD","TRAN",5.28,3.23
1244728,"AM","COD","TRAN",11.88,5.21
1247276,"RR","COD","TRAN",6.96,2.57
1156052,"PR","COD","TRAN",23,14.64
1142935,"NP","COD","TRAN",4.11,2.4
1175256,"RR","COD","TRAN",38.49,15.57
1164741,"AM","COD","TRAN",80.96,38.65
1164394,"AM","COD","TRAN",76.19,36.17
1154531,"RR","COD","TRAN",12.47,5.69
1142502,"AM","COD","TRAN",33.1,17.19
1142270,"PR","COD","TRAN",11.92,8.56
1250981,"RR","COD","TRAN",6.8,2.52
1245818,"PR","COD","TRAN",5.13,2.78
1133622,"PA","COD","TRAN",8.46,5.92
1136626,"PR","COD","ENVI",19.3,11.72
1144590,"RR","COD","ENVI",45.98,16.36
1140425,"AM","COD","ENVI",10.46,4.4
1139533,"AM","COD","ENVI",70.52,35.67
1137905,"AM","COD","TRAN",40.64,17.9
1141632,"AD","COD","TRAN",18.09,7.33
1147340,"AD","COD","EMPL",18.41,8.01
1155524,"RR","COD","TRAN",62.54,24.42
1141756,"PR","COD","TRAN",34.04,22.42
1146372,"AM","COD","TRAN",97.46,49.12
1139685,"PA","COD","EMPL",7.6,4.69
1144455,"AM","COD","EMPL",84.62,41.37
1146962,"AM","COD","TRAN",134.71,70.39
1172836,"DT","COD","TRAN",38.38,10.74
1173322,"DT","COD","TRAN",38.84,10.88
1173321,"DT","COD","TRAN",36.35,9.87
1173323,"DT","COD","TRAN",38.33,10.54
1173320,"DT","COD","TRAN",38.99,11.29
1207249,"RR","COD","TRAN",8.89,3
1204971,"AM","COD","TRAN",15.15,8.29
1202957,"PR","COD","TRAN",7.4,5.01
1132970,"NP","COD","TRAN",2.45,1.77
1155566,"RR","COD","TRAN",80.28,29.26
1147481,"AD","COD","EMPL",26.18,11.56
1140802,"PA","COD","EMPL",12.48,7.67
1144782,"AM","COD","EMPL",82.92,46.48
1144456,"AM","COD","EMPL",80.24,35.99
1145318,"AM","COD","TRAN",128.93,61.79
1146736,"AM","COD","TRAN",127.78,64.72
1142464,"PR","COD","TRAN",29.57,17.86
1172792,"DT","COD","TRAN",50.66,17.67
1173344,"DT","COD","TRAN",48.76,16.48
1173324,"DT","COD","TRAN",49.66,17.14
1173316,"DT","COD","TRAN",48.56,16.33
1173343,"DT","COD","TRAN",50.66,17.9
1173345,"DT","COD","TRAN",47.26,15.42
1207245,"RR","COD","TRAN",8.98,2.94
1204898,"AM","COD","TRAN",25.47,11.56
1202921,"PR","COD","TRAN",7.48,3.86
1198875,"DV","COD","TRAN",4.85,4.66
1155326,"PA","COD","ITRE",3.78,2.98
1161496,"AM","COD","AGRI",6.01,2.81
1158322,"PA","COD","AGRI",1.59,0.84
1161572,"PA","COD","CONT",2.12,1.2
1161376,"AD","COD","FEMM",1.99,0.97
1151951,"AD","COD","ENVI",3.4,1.96
1155447,"PA","COD","FEMM",3.66,2.6
1155990,"PA","COD","BUDG",2.02,1.54
1158755,"AD","COD","ITRE",5.59,2.26
1159180,"LT","COD","EMPL",2.36,2.02
1159110,"AM","COD","FEMM",1.57,0.85
1161698,"AD","COD","BUDG",3.35,1.28
1157330,"PR","COD","REGI",3.94,2.13
1156630,"AM","COD","ITRE",6.23,2.33
1159618,"AM","COD","REGI",2.29,1.54
1147716,"AM","COD","ENVI",8.82,3.44
1164775,"AD","COD","CONT",3.14,1.19
1165584,"RR","COD","REGI",24.63,9.67
1164407,"AM","COD","CONT",2.66,1.02
1162268,"AD","COD","AGRI",3.13,1.49
1170157,"NT","COD","REGI",1.23,1.02
1155329,"RR","COD","IMCO",51.87,16.83
1158963,"NT","COD","IMCO",2.75,2.46
1150879,"AD","COD","ITRE",19.5,7.9
1150377,"AM","COD","IMCO",109.06,49.99
1139697,"PA","COD","ITRE",16.17,9.25
1147172,"PR","COD","IMCO",29.61,18.09
1146889,"AM","COD","ITRE",32.47,16.31
1141352,"NP","COD","IMCO",4.09,3.45
1154526,"RR","CNS","LIBE",5.62,2.02
1152469,"AM","CNS","LIBE",4.96,2.47
1145938,"PR","CNS","LIBE",4.5,2.95
1158689,"RR","INI","AFET",42.12,22.55
1155654,"AM","INI","AFET",91.44,44.31
1155669,"AM","INI","AFET",86.87,45.31
1151308,"PA","INI","INTA",2.08,1.78
1153405,"PR","INI","AFET",8.95,7.51
1156773,"AD","INI","INTA",8.54,5.9
1153754,"AM","INI","INTA",23.7,13.27
1150069,"PA","INI","CULT",1.73,1.43
1151296,"AM","INI","CULT",22.46,14.31
1155683,"AD","INI","AGRI",12.44,9.28
1153945,"AD","INI","CULT",8.1,5.28
1157116,"AM","INI","INTA",89.77,49.52
1153839,"PR","INI","INTA",6.12,4.53
1161583,"AD","INI","DEVE",8.52,6.75
1162143,"AD","INI","JURI",4.34,2.73
1153279,"PA","INI","JURI",2.03,1.77
1148804,"PA","INI","DEVE",1.4,0.96
1157696,"AM","INI","JURI",13.92,7.71
1151859,"AM","INI","AGRI",46.62,28.48
1157513,"AM","INI","DEVE",26.01,14.64
1149302,"PA","INI","AGRI",1.85,1.54
1165666,"RR","INI","INTA",60.6,25.18
1165365,"DV","INI","INTA",1.23,1.1
1152622,"RR","INI","CULT",45,17.52
1149621,"AD","INI","EMPL",13.75,9.75
1144015,"PA","INI","EMPL",1.28,1.04
1141887,"PR","INI","CULT",15.95,13.36
1147878,"AM","INI","CULT",78.08,39.1
1146070,"AM","INI","EMPL",38.67,25.38
1152797,"NR","INI","BUDG",1.11,0.98
1149681,"PR","COD","ECON",12.48,6.72
1155016,"AM","COD","ECON",83.99,37.85
1152030,"PA","COD","JURI",16.67,5.89
1158692,"AD","COD","JURI",32.32,8.86
1164103,"RR","COD","ECON",122.76,35.32
1155452,"AM","COD","ENVI",139.64,60.39
1156962,"AM","COD","TRAN",20.72,5.69
1146991,"PA","COD","TRAN",17.67,10.7
1150425,"PR","COD","ENVI",18.11,9.89
1153734,"AM","COD","ENVI",36.68,12.99
1155670,"AM","COD","TRAN",116.54,52.42
1150338,"PA","COD","ITRE",34.34,21.34
1157750,"AD","COD","TRAN",36.36,13.81
1151036,"AM","COD","ITRE",60.26,26.33
1165791,"RR","COD","ENVI",79.99,24.5
1165966,"NR","COD","ENVI",1.26,0.92
1179023,"AL","COD","JURI",9.09,6.13
1179802,"NT","COD","ENVI",1.51,1.34
1137797,"AM","COD","ECON",5.17,2.19
1134446,"PA","COD","INTA",7.44,5.21
1135422,"PA","COD","ECON",3.67,2.52
1128301,"AM","COD","AFCO",13.75,6.03
1125489,"PA","COD","AFCO",7.76,4.53
1126729,"PA","COD","AGRI",8.81,4.54
1133820,"AM","COD","JURI",9,4.23
1150718,"AD","COD","ITRE",11.92,4.82
1153823,"AD","COD","AFCO",10.39,4.57
1137735,"AM","COD","INTA",8.38,3.35
1146015,"AM","COD","ITRE",27.13,11.84
1140988,"AD","COD","INTA",10.71,3.97
1146815,"AD","COD","ENVI",12.29,5.47
1143886,"AM","COD","ENVI",38.58,17.49
1139952,"AD","COD","ECON",5.78,3.29
1124354,"PA","COD","ITRE",11.83,6.66
1141641,"PA","COD","ENVI",12.12,7.77
1203165,"AD","COD","AGRI",9.89,4.37
1215546,"RR","COD","JURI",68.58,21.67
1205319,"AD","COD","ENVI",11.33,2.8
1199757,"AM","COD","AGRI",31.09,14.22
1200148,"AM","COD","JURI",30.3,13.42
1197916,"PR","COD","JURI",9.86,5.66
1203857,"AD","COD","ITRE",10.53,3.15
1198688,"PA","COD","AGRI",8.72,2.81
1200866,"AD","COD","INTA",8.94,3.19
1203943,"AD","COD","AFCO",10.68,3.13
1152861,"RR","INI","ENVI",32.33,15.17
1144018,"AM","INI","ITRE",25.04,21.06
1142272,"PA","INI","ITRE",1.57,1.32
1148642,"AD","INI","ITRE",7.76,6
1148212,"AM","INI","ENVI",6.01,3.9
1148153,"AM","INI","ENVI",62.94,34.26
1144570,"PR","INI","ENVI",12.66,10.85
1152867,"RR","INI","INTA",36.28,20.15
1151795,"NT","INI","INTA",1.56,1.34
1144621,"AM","INI","INTA",99.37,80.55
1146223,"AD","INI","DEVE",5.34,3.05
1140594,"PA","INI","DEVE",2.58,2.24
1142314,"PR","INI","INTA",18.25,16.67
1143336,"AM","INI","DEVE",21.78,9.14
1156004,"PR","INI","EMPL",9.57,6.59
1162118,"AM","INI","EMPL",57.21,32
1151302,"PA","INI","CULT",1.45,1.19
1155883,"AM","INI","CULT",19.21,11.9
1158334,"AD","INI","CULT",8.52,4.77
1165279,"NR","INI","EMPL",0.91,0.75
1166038,"RR","INI","EMPL",31.21,15.35
1158906,"RR","NLE","TRAN",6.38,2.24
1152477,"PR","NLE","TRAN",5.17,2.79
1153315,"RE","DEA","PECH",2.41,1.79
1153955,"AM","DEA","PECH",0.84,0.62
1153357,"AM","RSP","ENVI",38.18,19.18
1149506,"QO","RSP","ENVI",0.96,0.8
1147552,"QO","RSP","ENVI",1.02,0.95
1147724,"RE","RSP","ENVI",6.16,5.49
1157515,"RR","INI","TRAN",36.2,18.75
1153390,"AD","INI","ENVI",9.78,6.69
1150369,"AM","INI","TRAN",51.97,29.2
1145047,"PR","INI","TRAN",9.28,8.33
1146880,"PR","INI","TRAN",9.29,3.73
1147925,"AM","INI","ENVI",25.53,16.08
1144972,"PA","INI","ENVI",1.41,1.15
1161286,"NT","INI","IMCO",0.93,0.78
1150297,"AM","INI","IMCO",50.55,27.84
1157392,"RR","INI","IMCO",32.52,13.17
1150610,"AM","INI","INTA",19.68,11.09
1148960,"AD","INI","ENVI",8.3,4.88
1145728,"PR","INI","IMCO",10.57,9.29
1154000,"AD","INI","INTA",4.39,3.35
1146701,"PA","INI","INTA",1.88,1.7
1144314,"PR","COD","ECON",32.46,21.83
1147335,"AM","COD","ECON",141.14,70.55
1181383,"NR","COD","ECON",0.94,0.82
1153943,"RR","INI","AFET",20.86,13.8
1150603,"AM","INI","AFET",117.47,64.11
1156066,"NT","INI","AFET",1.54,1.32
