GROSS_SPA,NET_SPA,NET_SUBMITTED,REQUESTER_CODE,FDR_VERSION,DOC_DATE,PE_NO,DOC_TYPE,PROC_NAME,PROC_NATURE,PROC_TYPE,ROLE,DOSSIER_TYPE,COMMITTEE_1
1.45,0.68,0.68,LIBE,2,20-APR-18,620.824,PR,2018/0032(NLE),APPE,NLE,MAIN,LIBE,LIBE
2.73,1.43,1.43,DG1-DEPOT,1,30-MAY-18,620.824,RR,2018/0032(NLE),APPE,NLE,MAIN,LIBE,LIBE
1.03,0.53,0.53,ECR,1,09-APR-18,620.786,NT,2018/2043(BUD),MOFU,BUD,MAIN,BUDG,BUDG
17.04,9.61,9.61,DG1-DEPOT,1,24-APR-18,620.786,RR,2018/2043(BUD),MOFU,BUD,MAIN,BUDG,BUDG
1.07,0.56,0.82,REGI,3,09-APR-18,620.802,LT,2018/2043(BUD),MOFU,BUD,AVI,REGI,REGI
5.89,1.57,1.57,DG1-DEPOT,1,26-APR-18,618.322,RR,2017/0348(COD),LEG,COD,MAIN,PECH,PECH
5.62,1.96,1.96,PECH,3,01-MAR-18,618.322,PR,2017/0348(COD),LEG,COD,MAIN,PECH,PECH
1.26,0.49,0.5,ECR,1,19-MAR-18,111.111,DV,2017/0348(COD),LEG,COD,MAIN,PECH,PECH
1.26,0.72,0.73,ITRE,1,26-APR-18,621.069,AM,2017/0347(COD),LEG,COD,MAIN,ITRE,ITRE
3.38,1.72,1.72,DG1-DEPOT,2,21-JUN-18,619.286,RR,2017/0347(COD),LEG,COD,MAIN,ITRE,ITRE
1.07,0.79,0.79,ECR,1,21-MAR-18,619.286,NR,2017/0347(COD),LEG,COD,MAIN,ITRE,ITRE
1.94,0.66,0.66,ITRE,2,21-MAR-18,619.286,PR,2017/0347(COD),LEG,COD,MAIN,ITRE,ITRE
62.34,28.11,28.11,REGI,6,05-APR-18,618.19,AM,2017/0309(COD),LEG,COD,AVI,REGI,REGI
10.99,3.46,3.64,DEVE,1,28-FEB-18,618.133,AD,2017/0309(COD),LEG,COD,AHE,DEVE,DEVE
8.58,4.85,4.85,FEMM,2,04-APR-18,619.422,AD,2017/0309(COD),LEG,COD,AVI,FEMM,FEMM
93.44,31.02,31.02,DG1-DEPOT,2,08-MAR-18,616.87,RR,2017/0309(COD),LEG,COD,MHE,ENVI,ENVI
