GROSS_SPA,NET_SPA,DOC_TYPE,PROC_NATURE,PROC_TYPE,ROLE,DOSSIER_TYPE,COMMITTEE_1
1.45,0.68,PR,APPE,NLE,MAIN,LIBE,LIBE
2.73,1.43,RR,APPE,NLE,MAIN,LIBE,LIBE
1.03,0.53,NT,MOFU,BUD,MAIN,BUDG,BUDG
17.04,9.61,RR,MOFU,BUD,MAIN,BUDG,BUDG
1.07,0.56,LT,MOFU,BUD,AVI,REGI,REGI
5.89,1.57,RR,LEG,COD,MAIN,PECH,PECH
5.62,1.96,PR,LEG,COD,MAIN,PECH,PECH
1.26,0.49,DV,LEG,COD,MAIN,PECH,PECH
1.26,0.72,AM,LEG,COD,MAIN,ITRE,ITRE
3.38,1.72,RR,LEG,COD,MAIN,ITRE,ITRE
1.07,0.79,NR,LEG,COD,MAIN,ITRE,ITRE
1.94,0.66,PR,LEG,COD,MAIN,ITRE,ITRE
62.34,28.11,AM,LEG,COD,AVI,REGI,REGI
10.99,3.46,AD,LEG,COD,AHE,DEVE,DEVE
8.58,4.85,AD,LEG,COD,AVI,FEMM,FEMM
93.44,31.02,RR,LEG,COD,MHE,ENVI,ENVI
99.65,49.07,AM,LEG,COD,MHE,ENVI,ENVI
23.86,11.17,AD,LEG,COD,AVI,REGI,REGI
22.09,10.71,AM,LEG,COD,MHE,ENVI,ENVI
8.48,2.77,AD,LEG,COD,AVI,BUDG,BUDG
7.66,6.02,PA,LEG,COD,AVI,BUDG,BUDG
8.49,7.2,NP,LEG,COD,MHE,ENVI,ENVI
14.63,8.47,PA,LEG,COD,AVI,REGI,REGI
10.21,6.36,PA,LEG,COD,AHE,DEVE,DEVE
0.98,0.71,AM,LEG,COD,AVI,BUDG,BUDG
22.61,14.19,PR,LEG,COD,MHE,ENVI,ENVI
2.42,2.06,NT,LEG,COD,MHE,ENVI,ENVI
13.41,4.7,RR,LEG,CNS,MAIN,TRAN,TRAN
5.54,2.53,AD,LEG,CNS,AVI,ECON,ECON
6.65,4.2,PR,LEG,CNS,MAIN,TRAN,TRAN
3.35,2.48,PA,LEG,CNS,AVI,ECON,ECON
9.53,4.39,AM,LEG,CNS,MAIN,TRAN,TRAN
9.76,4.26,AM,LEG,CNS,AVI,ECON,ECON
1.93,1.05,CM,RCST,COD,OAR,JURI,JURI
22.03,8.15,AD,RCST,COD,AVI,LIBE,LIBE
69.1,22.01,RR,RCST,COD,MAIN,TRAN,TRAN
34.43,16.0,AM,RCST,COD,AVI,LIBE,LIBE
93.26,58.87,AM,RCST,COD,MAIN,TRAN,TRAN
5.04,2.33,PA,RCST,COD,AVI,LIBE,LIBE
14.59,8.18,PR,RCST,COD,MAIN,TRAN,TRAN
53.59,35.05,PF,RCST,COD,MAIN,TRAN,TRAN
75.25,27.67,RR,LEG,COD,MAIN,TRAN,TRAN
31.45,12.83,AD,LEG,COD,AVI,EMPL,EMPL
16.06,10.14,PA,LEG,COD,AVI,EMPL,EMPL
133.29,63.97,AM,LEG,COD,AVI,EMPL,EMPL
103.17,48.55,AM,LEG,COD,MAIN,TRAN,TRAN
120.24,56.78,AM,LEG,COD,MAIN,TRAN,TRAN
36.39,25.33,PR,LEG,COD,MAIN,TRAN,TRAN
36.14,9.42,DT,LEG,COD,MAIN,TRAN,TRAN
35.93,9.43,DT,LEG,COD,MAIN,TRAN,TRAN
35.7,9.42,DT,LEG,COD,MAIN,TRAN,TRAN
35.74,9.34,DT,LEG,COD,MAIN,TRAN,TRAN
8.24,2.74,RR,LEG,COD,MAIN,TRAN,TRAN
22.7,10.02,AM,LEG,COD,MAIN,TRAN,TRAN
6.68,4.06,PR,LEG,COD,MAIN,TRAN,TRAN
71.76,24.24,RR,LEG,COD,MAIN,TRAN,TRAN
44.27,17.42,AM,LEG,COD,AVI,ENVI,ENVI
27.05,11.23,AD,LEG,COD,AVI,ENVI,ENVI
109.38,51.32,AM,LEG,COD,MAIN,TRAN,TRAN
30.55,20.0,PA,LEG,COD,AVI,ENVI,ENVI
3.18,2.7,NP,LEG,COD,MAIN,TRAN,TRAN
33.22,20.73,PR,LEG,COD,MAIN,TRAN,TRAN
3.44,2.44,NP,LEG,COD,MHE,TRAN,TRAN
90.25,33.09,RR,LEG,COD,MHE,TRAN,TRAN
32.73,10.81,AD,LEG,COD,AHE,ENVI,ENVI
25.67,12.06,PA,LEG,COD,AHE,ENVI,ENVI
88.79,38.77,AM,LEG,COD,AHE,ENVI,ENVI
0.55,0.32,AM,LEG,COD,MHE,TRAN,TRAN
44.32,28.49,PR,LEG,COD,MHE,TRAN,TRAN
1.06,0.47,AM,LEG,COD,AHE,ENVI,ENVI
10.81,6.48,DT,LEG,COD,MHE,TRAN,TRAN
80.57,39.01,AM,LEG,COD,MHE,TRAN,TRAN
114.4,49.49,AM,LEG,COD,MHE,TRAN,TRAN
5.28,3.23,PR,LEG,COD,MAIN,TRAN,TRAN
11.88,5.21,AM,LEG,COD,MAIN,TRAN,TRAN
6.96,2.57,RR,LEG,COD,MAIN,TRAN,TRAN
23.0,14.64,PR,LEG,COD,MAIN,TRAN,TRAN
4.11,2.4,NP,LEG,COD,MAIN,TRAN,TRAN
38.49,15.57,RR,LEG,COD,MAIN,TRAN,TRAN
80.96,38.65,AM,LEG,COD,MAIN,TRAN,TRAN
76.19,36.17,AM,LEG,COD,MAIN,TRAN,TRAN
12.47,5.69,RR,LEG,COD,MAIN,TRAN,TRAN
33.1,17.19,AM,LEG,COD,MAIN,TRAN,TRAN
11.92,8.56,PR,LEG,COD,MAIN,TRAN,TRAN
6.8,2.52,RR,LEG,COD,MAIN,TRAN,TRAN
5.13,2.78,PR,LEG,COD,MAIN,TRAN,TRAN
8.46,5.92,PA,LEG,COD,AVI,TRAN,TRAN
19.3,11.72,PR,LEG,COD,MAIN,ENVI,ENVI
45.98,16.36,RR,LEG,COD,MAIN,ENVI,ENVI
10.46,4.4,AM,LEG,COD,MAIN,ENVI,ENVI
70.52,35.67,AM,LEG,COD,MAIN,ENVI,ENVI
40.64,17.9,AM,LEG,COD,AVI,TRAN,TRAN
18.09,7.33,AD,LEG,COD,AVI,TRAN,TRAN
18.41,8.01,AD,LEG,COD,AHE,EMPL,EMPL
62.54,24.42,RR,LEG,COD,MHE,TRAN,TRAN
34.04,22.42,PR,LEG,COD,MHE,TRAN,TRAN
97.46,49.12,AM,LEG,COD,MHE,TRAN,TRAN
7.6,4.69,PA,LEG,COD,AHE,EMPL,EMPL
84.62,41.37,AM,LEG,COD,AHE,EMPL,EMPL
134.71,70.39,AM,LEG,COD,MHE,TRAN,TRAN
38.38,10.74,DT,LEG,COD,MHE,TRAN,TRAN
38.84,10.88,DT,LEG,COD,MHE,TRAN,TRAN
36.35,9.87,DT,LEG,COD,MHE,TRAN,TRAN
38.33,10.54,DT,LEG,COD,MHE,TRAN,TRAN
38.99,11.29,DT,LEG,COD,MHE,TRAN,TRAN
8.89,3.0,RR,LEG,COD,MAIN,TRAN,TRAN
15.15,8.29,AM,LEG,COD,MAIN,TRAN,TRAN
7.4,5.01,PR,LEG,COD,MAIN,TRAN,TRAN
2.45,1.77,NP,LEG,COD,MHE,TRAN,TRAN
80.28,29.26,RR,LEG,COD,MHE,TRAN,TRAN
26.18,11.56,AD,LEG,COD,AHE,EMPL,EMPL
12.48,7.67,PA,LEG,COD,AHE,EMPL,EMPL
82.92,46.48,AM,LEG,COD,AHE,EMPL,EMPL
80.24,35.99,AM,LEG,COD,AHE,EMPL,EMPL
128.93,61.79,AM,LEG,COD,MHE,TRAN,TRAN
127.78,64.72,AM,LEG,COD,MHE,TRAN,TRAN
29.57,17.86,PR,LEG,COD,MHE,TRAN,TRAN
50.66,17.67,DT,LEG,COD,MHE,TRAN,TRAN
48.76,16.48,DT,LEG,COD,MHE,TRAN,TRAN
49.66,17.14,DT,LEG,COD,MHE,TRAN,TRAN
48.56,16.33,DT,LEG,COD,MHE,TRAN,TRAN
50.66,17.9,DT,LEG,COD,MHE,TRAN,TRAN
47.26,15.42,DT,LEG,COD,MHE,TRAN,TRAN
8.98,2.94,RR,LEG,COD,MAIN,TRAN,TRAN
25.47,11.56,AM,LEG,COD,MAIN,TRAN,TRAN
7.48,3.86,PR,LEG,COD,MAIN,TRAN,TRAN
4.85,4.66,DV,LEG,COD,MAIN,TRAN,TRAN
3.78,2.98,PA,LEG,COD,AVI,ITRE,ITRE
6.01,2.81,AM,LEG,COD,AVI,AGRI,AGRI
1.59,0.84,PA,LEG,COD,AVI,AGRI,AGRI
2.12,1.2,PA,LEG,COD,AVI,CONT,CONT
1.99,0.97,AD,LEG,COD,AVI,FEMM,FEMM
3.4,1.96,AD,LEG,COD,AVI,ENVI,ENVI
3.66,2.6,PA,LEG,COD,AVI,FEMM,FEMM
2.02,1.54,PA,LEG,COD,AHE,BUDG,BUDG
5.59,2.26,AD,LEG,COD,AVI,ITRE,ITRE
2.36,2.02,LT,LEG,COD,AVI,EMPL,EMPL
1.57,0.85,AM,LEG,COD,AVI,FEMM,FEMM
3.35,1.28,AD,LEG,COD,AHE,BUDG,BUDG
3.94,2.13,PR,LEG,COD,MHE,REGI,REGI
6.23,2.33,AM,LEG,COD,AVI,ITRE,ITRE
2.29,1.54,AM,LEG,COD,MHE,REGI,REGI
8.82,3.44,AM,LEG,COD,AVI,ENVI,ENVI
3.14,1.19,AD,LEG,COD,AVI,CONT,CONT
24.63,9.67,RR,LEG,COD,MHE,REGI,REGI
2.66,1.02,AM,LEG,COD,AVI,CONT,CONT
3.13,1.49,AD,LEG,COD,AVI,AGRI,AGRI
1.23,1.02,NT,LEG,COD,MHE,REGI,REGI
51.87,16.83,RR,LEG,COD,MAIN,IMCO,IMCO
2.75,2.46,NT,LEG,COD,MAIN,IMCO,IMCO
19.5,7.9,AD,LEG,COD,AVI,ITRE,ITRE
109.06,49.99,AM,LEG,COD,MAIN,IMCO,IMCO
16.17,9.25,PA,LEG,COD,AVI,ITRE,ITRE
29.61,18.09,PR,LEG,COD,MAIN,IMCO,IMCO
32.47,16.31,AM,LEG,COD,AVI,ITRE,ITRE
4.09,3.45,NP,LEG,COD,MAIN,IMCO,IMCO
5.62,2.02,RR,LEG,CNS,MAIN,LIBE,LIBE
4.96,2.47,AM,LEG,CNS,MAIN,LIBE,LIBE
4.5,2.95,PR,LEG,CNS,MAIN,LIBE,LIBE
42.12,22.55,RR,INIT,INI,MHE,AFET,AFET
91.44,44.31,AM,INIT,INI,MHE,AFET,AFET
86.87,45.31,AM,INIT,INI,MHE,AFET,AFET
2.08,1.78,PA,INIT,INI,AHE,INTA,INTA
8.95,7.51,PR,INIT,INI,MHE,AFET,AFET
8.54,5.9,AD,INIT,INI,AHE,INTA,INTA
23.7,13.27,AM,INIT,INI,AHE,INTA,INTA
1.73,1.43,PA,INIT,INI,AVI,CULT,CULT
22.46,14.31,AM,INIT,INI,AVI,CULT,CULT
12.44,9.28,AD,INIT,INI,AVI,AGRI,AGRI
8.1,5.28,AD,INIT,INI,AVI,CULT,CULT
89.77,49.52,AM,INIT,INI,MAIN,INTA,INTA
6.12,4.53,PR,INIT,INI,MAIN,INTA,INTA
8.52,6.75,AD,INIT,INI,AVI,DEVE,DEVE
4.34,2.73,AD,INIT,INI,AVI,JURI,JURI
2.03,1.77,PA,INIT,INI,AVI,JURI,JURI
1.4,0.96,PA,INIT,INI,AVI,DEVE,DEVE
13.92,7.71,AM,INIT,INI,AVI,JURI,JURI
46.62,28.48,AM,INIT,INI,AVI,AGRI,AGRI
26.01,14.64,AM,INIT,INI,AVI,DEVE,DEVE
1.85,1.54,PA,INIT,INI,AVI,AGRI,AGRI
60.6,25.18,RR,INIT,INI,MAIN,INTA,INTA
1.23,1.1,DV,INIT,INI,MAIN,INTA,INTA
45.0,17.52,RR,IMPL,INI,MAIN,CULT,CULT
13.75,9.75,AD,IMPL,INI,AVI,EMPL,EMPL
1.28,1.04,PA,IMPL,INI,AVI,EMPL,EMPL
15.95,13.36,PR,IMPL,INI,MAIN,CULT,CULT
78.08,39.1,AM,IMPL,INI,MAIN,CULT,CULT
38.67,25.38,AM,IMPL,INI,AVI,EMPL,EMPL
1.11,0.98,NR,IMPL,INI,MAIN,BUDG,BUDG
12.48,6.72,PR,LEG,COD,MAIN,ECON,ECON
83.99,37.85,AM,LEG,COD,MAIN,ECON,ECON
16.67,5.89,PA,LEG,COD,AVI,JURI,JURI
32.32,8.86,AD,LEG,COD,AVI,JURI,JURI
122.76,35.32,RR,LEG,COD,MAIN,ECON,ECON
139.64,60.39,AM,LEG,COD,MAIN,ENVI,ENVI
20.72,5.69,AM,LEG,COD,AVI,TRAN,TRAN
17.67,10.7,PA,LEG,COD,AVI,TRAN,TRAN
18.11,9.89,PR,LEG,COD,MAIN,ENVI,ENVI
36.68,12.99,AM,LEG,COD,MAIN,ENVI,ENVI
116.54,52.42,AM,LEG,COD,AVI,TRAN,TRAN
34.34,21.34,PA,LEG,COD,AVI,ITRE,ITRE
36.36,13.81,AD,LEG,COD,AVI,TRAN,TRAN
60.26,26.33,AM,LEG,COD,AVI,ITRE,ITRE
79.99,24.5,RR,LEG,COD,MAIN,ENVI,ENVI
1.26,0.92,NR,LEG,COD,MAIN,ENVI,ENVI
9.09,6.13,AL,LEG,COD,OLB,JURI,JURI
1.51,1.34,NT,LEG,COD,MAIN,ENVI,ENVI
5.17,2.19,AM,LEG,COD,AVI,ECON,ECON
7.44,5.21,PA,LEG,COD,AVI,INTA,INTA
3.67,2.52,PA,LEG,COD,AVI,ECON,ECON
13.75,6.03,AM,LEG,COD,AVI,AFCO,AFCO
7.76,4.53,PA,LEG,COD,AVI,AFCO,AFCO
8.81,4.54,PA,LEG,COD,AVI,AGRI,AGRI
9.0,4.23,AM,LEG,COD,MAIN,JURI,JURI
11.92,4.82,AD,LEG,COD,AVI,ITRE,ITRE
10.39,4.57,AD,LEG,COD,AVI,AFCO,AFCO
8.38,3.35,AM,LEG,COD,AVI,INTA,INTA
27.13,11.84,AM,LEG,COD,AVI,ITRE,ITRE
10.71,3.97,AD,LEG,COD,AVI,INTA,INTA
12.29,5.47,AD,LEG,COD,AVI,ENVI,ENVI
38.58,17.49,AM,LEG,COD,AVI,ENVI,ENVI
5.78,3.29,AD,LEG,COD,AVI,ECON,ECON
11.83,6.66,PA,LEG,COD,AVI,ITRE,ITRE
12.12,7.77,PA,LEG,COD,AVI,ENVI,ENVI
9.89,4.37,AD,LEG,COD,AVI,AGRI,AGRI
68.58,21.67,RR,LEG,COD,MAIN,JURI,JURI
11.33,2.8,AD,LEG,COD,AVI,ENVI,ENVI
31.09,14.22,AM,LEG,COD,AVI,AGRI,AGRI
30.3,13.42,AM,LEG,COD,MAIN,JURI,JURI
9.86,5.66,PR,LEG,COD,MAIN,JURI,JURI
10.53,3.15,AD,LEG,COD,AVI,ITRE,ITRE
8.72,2.81,PA,LEG,COD,AVI,AGRI,AGRI
8.94,3.19,AD,LEG,COD,AVI,INTA,INTA
10.68,3.13,AD,LEG,COD,AVI,AFCO,AFCO
32.33,15.17,RR,IMPL,INI,MAIN,ENVI,ENVI
