GROSS_SPA,NET_SPA,REQUESTER_CODE,DOC_TYPE,PROC_NAME,PROC_NATURE,PROC_TYPE,ROLE,DOSSIER_TYPE,COMMITTEE_1
1.45,0.68,LIBE,PR,2018/0032(NLE),APPE,NLE,MAIN,LIBE,LIBE
2.73,1.43,DG1-DEPOT,RR,2018/0032(NLE),APPE,NLE,MAIN,LIBE,LIBE
1.03,0.53,ECR,NT,2018/2043(BUD),MOFU,BUD,MAIN,BUDG,BUDG
17.04,9.61,DG1-DEPOT,RR,2018/2043(BUD),MOFU,BUD,MAIN,BUDG,BUDG
1.07,0.56,REGI,LT,2018/2043(BUD),MOFU,BUD,AVI,REGI,REGI
5.89,1.57,DG1-DEPOT,RR,2017/0348(COD),LEG,COD,MAIN,PECH,PECH
5.62,1.96,PECH,PR,2017/0348(COD),LEG,COD,MAIN,PECH,PECH
1.26,0.49,ECR,DV,2017/0348(COD),LEG,COD,MAIN,PECH,PECH
1.26,0.72,ITRE,AM,2017/0347(COD),LEG,COD,MAIN,ITRE,ITRE
3.38,1.72,DG1-DEPOT,RR,2017/0347(COD),LEG,COD,MAIN,ITRE,ITRE
1.07,0.79,ECR,NR,2017/0347(COD),LEG,COD,MAIN,ITRE,ITRE
1.94,0.66,ITRE,PR,2017/0347(COD),LEG,COD,MAIN,ITRE,ITRE
62.34,28.11,REGI,AM,2017/0309(COD),LEG,COD,AVI,REGI,REGI
10.99,3.46,DEVE,AD,2017/0309(COD),LEG,COD,AHE,DEVE,DEVE
8.58,4.85,FEMM,AD,2017/0309(COD),LEG,COD,AVI,FEMM,FEMM
93.44,31.02,DG1-DEPOT,RR,2017/0309(COD),LEG,COD,MHE,ENVI,ENVI
99.65,49.07,ENVI,AM,2017/0309(COD),LEG,COD,MHE,ENVI,ENVI
23.86,11.17,REGI,AD,2017/0309(COD),LEG,COD,AVI,REGI,REGI
22.09,10.71,ENVI,AM,2017/0309(COD),LEG,COD,MHE,ENVI,ENVI
8.48,2.77,BUDG,AD,2017/0309(COD),LEG,COD,AVI,BUDG,BUDG
7.66,6.02,BUDG,PA,2017/0309(COD),LEG,COD,AVI,BUDG,BUDG
8.49,7.2,JURI,NP,2017/0309(COD),LEG,COD,MHE,ENVI,ENVI
14.63,8.47,REGI,PA,2017/0309(COD),LEG,COD,AVI,REGI,REGI
10.21,6.36,DEVE,PA,2017/0309(COD),LEG,COD,AHE,DEVE,DEVE
0.98,0.71,BUDG,AM,2017/0309(COD),LEG,COD,AVI,BUDG,BUDG
22.61,14.19,ENVI,PR,2017/0309(COD),LEG,COD,MHE,ENVI,ENVI
2.42,2.06,PPE,NT,2017/0309(COD),LEG,COD,MHE,ENVI,ENVI
13.41,4.7,DG1-DEPOT,RR,2017/0115(CNS),LEG,CNS,MAIN,TRAN,TRAN
5.54,2.53,ECON,AD,2017/0115(CNS),LEG,CNS,AVI,ECON,ECON
6.65,4.2,TRAN,PR,2017/0115(CNS),LEG,CNS,MAIN,TRAN,TRAN
3.35,2.48,ECON,PA,2017/0115(CNS),LEG,CNS,AVI,ECON,ECON
9.53,4.39,TRAN,AM,2017/0115(CNS),LEG,CNS,MAIN,TRAN,TRAN
9.76,4.26,ECON,AM,2017/0115(CNS),LEG,CNS,AVI,ECON,ECON
1.93,1.05,JURI,CM,2017/0128(COD),RCST,COD,OAR,JURI,JURI
22.03,8.15,LIBE,AD,2017/0128(COD),RCST,COD,AVI,LIBE,LIBE
69.1,22.01,DG1-DEPOT,RR,2017/0128(COD),RCST,COD,MAIN,TRAN,TRAN
34.43,16.0,LIBE,AM,2017/0128(COD),RCST,COD,AVI,LIBE,LIBE
93.26,58.87,TRAN,AM,2017/0128(COD),RCST,COD,MAIN,TRAN,TRAN
5.04,2.33,LIBE,PA,2017/0128(COD),RCST,COD,AVI,LIBE,LIBE
14.59,8.18,TRAN,PR,2017/0128(COD),RCST,COD,MAIN,TRAN,TRAN
53.59,35.05,PRES-LEGACT,PF,2017/0128(COD),RCST,COD,MAIN,TRAN,TRAN
75.25,27.67,DG1-DEPOT,RR,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
31.45,12.83,EMPL,AD,2017/0123(COD),LEG,COD,AVI,EMPL,EMPL
16.06,10.14,EMPL,PA,2017/0123(COD),LEG,COD,AVI,EMPL,EMPL
133.29,63.97,EMPL,AM,2017/0123(COD),LEG,COD,AVI,EMPL,EMPL
103.17,48.55,TRAN,AM,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
120.24,56.78,TRAN,AM,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
36.39,25.33,TRAN,PR,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
36.14,9.42,TRAN,DT,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
35.93,9.43,TRAN,DT,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
35.7,9.42,TRAN,DT,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
35.74,9.34,TRAN,DT,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
8.24,2.74,DG1-DEPOT,RR,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
22.7,10.02,TRAN,AM,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
6.68,4.06,TRAN,PR,2017/0123(COD),LEG,COD,MAIN,TRAN,TRAN
71.76,24.24,DG1-DEPOT,RR,2017/0290(COD),LEG,COD,MAIN,TRAN,TRAN
44.27,17.42,ENVI,AM,2017/0290(COD),LEG,COD,AVI,ENVI,ENVI
27.05,11.23,ENVI,AD,2017/0290(COD),LEG,COD,AVI,ENVI,ENVI
109.38,51.32,TRAN,AM,2017/0290(COD),LEG,COD,MAIN,TRAN,TRAN
30.55,20.0,ENVI,PA,2017/0290(COD),LEG,COD,AVI,ENVI,ENVI
3.18,2.7,JURI,NP,2017/0290(COD),LEG,COD,MAIN,TRAN,TRAN
33.22,20.73,TRAN,PR,2017/0290(COD),LEG,COD,MAIN,TRAN,TRAN
3.44,2.44,JURI,NP,2017/0114(COD),LEG,COD,MHE,TRAN,TRAN
90.25,33.09,DG1-DEPOT,RR,2017/0114(COD),LEG,COD,MHE,TRAN,TRAN
32.73,10.81,ENVI,AD,2017/0114(COD),LEG,COD,AHE,ENVI,ENVI
25.67,12.06,ENVI,PA,2017/0114(COD),LEG,COD,AHE,ENVI,ENVI
88.79,38.77,ENVI,AM,2017/0114(COD),LEG,COD,AHE,ENVI,ENVI
0.55,0.32,TRAN,AM,2017/0114(COD),LEG,COD,MHE,TRAN,TRAN
44.32,28.49,TRAN,PR,2017/0114(COD),LEG,COD,MHE,TRAN,TRAN
1.06,0.47,ENVI,AM,2017/0114(COD),LEG,COD,AHE,ENVI,ENVI
10.81,6.48,TRAN,DT,2017/0114(COD),LEG,COD,MHE,TRAN,TRAN
80.57,39.01,TRAN,AM,2017/0114(COD),LEG,COD,MHE,TRAN,TRAN
114.4,49.49,TRAN,AM,2017/0114(COD),LEG,COD,MHE,TRAN,TRAN
5.28,3.23,TRAN,PR,2017/0114(COD),LEG,COD,MAIN,TRAN,TRAN
11.88,5.21,TRAN,AM,2017/0114(COD),LEG,COD,MAIN,TRAN,TRAN
6.96,2.57,DG1-DEPOT,RR,2017/0114(COD),LEG,COD,MAIN,TRAN,TRAN
23.0,14.64,TRAN,PR,2017/0288(COD),LEG,COD,MAIN,TRAN,TRAN
4.11,2.4,JURI,NP,2017/0288(COD),LEG,COD,MAIN,TRAN,TRAN
38.49,15.57,DG1-DEPOT,RR,2017/0288(COD),LEG,COD,MAIN,TRAN,TRAN
80.96,38.65,TRAN,AM,2017/0288(COD),LEG,COD,MAIN,TRAN,TRAN
76.19,36.17,TRAN,AM,2017/0288(COD),LEG,COD,MAIN,TRAN,TRAN
12.47,5.69,DG1-DEPOT,RR,2017/0113(COD),LEG,COD,MAIN,TRAN,TRAN
33.1,17.19,TRAN,AM,2017/0113(COD),LEG,COD,MAIN,TRAN,TRAN
11.92,8.56,TRAN,PR,2017/0113(COD),LEG,COD,MAIN,TRAN,TRAN
6.8,2.52,DG1-DEPOT,RR,2017/0113(COD),LEG,COD,MAIN,TRAN,TRAN
5.13,2.78,TRAN,PR,2017/0113(COD),LEG,COD,MAIN,TRAN,TRAN
8.46,5.92,TRAN,PA,2017/0111(COD),LEG,COD,AVI,TRAN,TRAN
19.3,11.72,ENVI,PR,2017/0111(COD),LEG,COD,MAIN,ENVI,ENVI
45.98,16.36,DG1-DEPOT,RR,2017/0111(COD),LEG,COD,MAIN,ENVI,ENVI
10.46,4.4,ENVI,AM,2017/0111(COD),LEG,COD,MAIN,ENVI,ENVI
70.52,35.67,ENVI,AM,2017/0111(COD),LEG,COD,MAIN,ENVI,ENVI
40.64,17.9,TRAN,AM,2017/0111(COD),LEG,COD,AVI,TRAN,TRAN
18.09,7.33,TRAN,AD,2017/0111(COD),LEG,COD,AVI,TRAN,TRAN
18.41,8.01,EMPL,AD,2017/0122(COD),LEG,COD,AHE,EMPL,EMPL
62.54,24.42,DG1-DEPOT,RR,2017/0122(COD),LEG,COD,MHE,TRAN,TRAN
34.04,22.42,TRAN,PR,2017/0122(COD),LEG,COD,MHE,TRAN,TRAN
